m,k,nodes,edges,girth,is_bipartite,spectral_asymmetry,diameter,radius,graph_energy,lambda_max,lambda_min,algebraic_connectivity,avg_clustering_coeff,avg_shortest_path
4,42,352,528,4,False,0.001699071400425023,87,44,553.8493788676211,2.9999999999999982,-2.998300928599573,0.0016990714004344698,0.0,29.523439523439524
4,43,360,540,4,False,0.0016244062760817357,89,45,566.4931027307061,3.000000000000001,-2.998375593723919,0.0016244062760807578,0.0,30.18780563293098
4,44,368,552,4,False,0.0015545566473611494,91,46,579.136826651641,2.999999999999997,-2.9984454433526357,0.0015545566473731927,0.0,30.85226868854401
4,45,376,564,4,False,0.0014891171628841349,93,47,591.7805506134816,3.0,-2.998510882837116,0.0014891171628916256,0.0,31.51682269503546
4,46,384,576,4,False,0.001427724240353978,95,48,604.4242746042476,2.9999999999999947,-2.9985722757596407,0.001427724240348853,0.0,32.18146214099217
4,47,392,588,4,False,0.001370051006415629,97,49,617.0679986154669,3.0000000000000044,-2.998629948993589,0.0013700510064066239,0.0,32.84618195104129
4,48,400,600,4,False,0.0013158029373943059,99,50,629.7117226411482,3.0000000000000098,-2.9986841970626155,0.0013158029373861134,0.0,33.51097744360902
4,49,408,612,4,False,0.001264714092254593,101,51,642.3554466770559,2.9999999999999893,-2.9987352859077347,0.00126471409226108,0.0,34.17584429349135
4,50,416,624,4,False,0.001216543847619267,103,52,654.9991707201955,3.0000000000000053,-2.998783456152386,0.001216543847608596,0.0,34.84077849860982
5,0,20,30,5,False,0.7639320225002098,5,5,29.416407864998742,3.000000000000001,-2.236067977499791,0.7639320225002091,0.0,2.6315789473684212
5,1,30,45,5,False,0.35424868893540573,6,6,45.70364290244841,3.000000000000002,-2.6457513110645965,0.35424868893540784,0.0,3.2988505747126435
5,2,40,60,5,False,0.20206734806818538,8,6,61.608525201823,2.9999999999999982,-2.797932651931813,0.2020673480681916,0.0,3.891025641025641
5,3,50,75,5,False,0.1301449553157239,9,7,77.41125841387756,2.9999999999999987,-2.8698550446842748,0.13014495531572406,0.0,4.453061224489796
5,4,60,90,5,False,0.090687088823596,11,7,93.18148170385516,3.0000000000000084,-2.9093129111764124,0.09068708882359937,0.0,5.016949152542373
5,5,70,105,5,False,0.06676365227591408,13,8,108.94056770168696,2.99999999999999,-2.9332363477240757,0.066763652275921,0.0,5.592132505175983
5,6,80,120,5,False,0.05118360523324439,15,8,124.69570374860469,3.000000000000009,-2.9488163947667645,0.05118360523325162,0.0,6.180379746835443
5,7,90,135,5,False,0.04047799752331027,17,9,140.4494138775559,2.999999999999999,-2.959522002476689,0.04047799752331176,0.0,6.780274656679151
5,8,100,150,5,False,0.03280838751849524,19,10,156.20260411330136,3.0000000000000075,-2.9671916124815123,0.03280838751848511,0.0,7.38989898989899
